name,score,state,timestamp
建军大业,0.778078484438,1,2017-08-07
建军大业,0.377358490566,0,2017-08-08
建军大业,0.853158326497,1,2017-08-08
悟空传,0.0,0,2017-07-06
悟空传,1.11111111111,1,2017-07-06
悟空传,0.25,0,2017-07-08
悟空传,0.75,1,2017-07-08
悟空传,0.0,0,2017-07-09
悟空传,1.25,1,2017-07-09
悟空传,0.0,0,2017-07-12
悟空传,1.11111111111,1,2017-07-12
悟空传,0.25974025974,0,2017-07-13
悟空传,0.779220779221,1,2017-07-13
悟空传,0.577196474268,0,2017-07-15
悟空传,0.756326414558,1,2017-07-15
悟空传,0.567444876783,0,2017-07-16
悟空传,0.749027237354,1,2017-07-16
悟空传,0.450773993808,0,2017-07-17
悟空传,0.859442724458,1,2017-07-17
悟空传,0.520697426165,0,2017-07-18
悟空传,0.759103309216,1,2017-07-18
悟空传,0.570231371835,0,2017-07-19
悟空传,0.697759154673,1,2017-07-19
悟空传,0.493017350825,0,2017-07-20
悟空传,0.742699957681,1,2017-07-20
悟空传,0.474403645135,0,2017-07-21
悟空传,0.766550522648,1,2017-07-21
悟空传,0.56371814093,0,2017-07-22
悟空传,0.782608695652,1,2017-07-22
悟空传,0.498409331919,0,2017-07-23
悟空传,0.79179922234,1,2017-07-23
悟空传,0.534729878721,0,2017-07-24
悟空传,0.804851157663,1,2017-07-24
悟空传,0.515222482436,0,2017-07-25
悟空传,0.790398126464,1,2017-07-25
悟空传,0.542920029347,0,2017-07-26
悟空传,0.696991929567,1,2017-07-26
悟空传,0.325476992144,0,2017-07-27
悟空传,1.03254769921,1,2017-07-27
悟空传,0.506912442396,0,2017-07-28
悟空传,0.814132104455,1,2017-07-28
悟空传,0.60162601626,0,2017-07-29
悟空传,0.910569105691,1,2017-07-29
悟空传,0.504201680672,0,2017-07-30
悟空传,0.823529411765,1,2017-07-30
悟空传,0.378289473684,0,2017-07-31
悟空传,0.838815789474,1,2017-07-31
悟空传,0.332103321033,0,2017-08-01
悟空传,0.774907749077,1,2017-08-01
悟空传,0.282131661442,0,2017-08-02
悟空传,1.09717868339,1,2017-08-02
悟空传,0.462809917355,0,2017-08-03
悟空传,0.776859504132,1,2017-08-03
悟空传,0.406091370558,0,2017-08-04
悟空传,0.761421319797,1,2017-08-04
悟空传,0.276243093923,0,2017-08-05
悟空传,0.883977900552,1,2017-08-05
悟空传,0.387096774194,0,2017-08-06
悟空传,0.903225806452,1,2017-08-06
悟空传,0.454545454545,0,2017-08-07
悟空传,0.833333333333,1,2017-08-07
悟空传,0.333333333333,0,2017-08-08
悟空传,1.33333333333,1,2017-08-08
喜欢你,0.0,0,2017-04-02
喜欢你,1.0,1,2017-04-02
喜欢你,0.352941176471,0,2017-04-08
喜欢你,0.705882352941,1,2017-04-08
喜欢你,0.0,0,2017-04-09
喜欢你,1.17647058824,1,2017-04-09
喜欢你,0.2,0,2017-04-10
喜欢你,0.8,1,2017-04-10
喜欢你,0.0,0,2017-04-11
喜欢你,1.0,1,2017-04-11
喜欢你,0.0,0,2017-04-14
喜欢你,10.0,1,2017-04-14
喜欢你,0.0,0,2017-04-15
喜欢你,1.11111111111,1,2017-04-15
喜欢你,0.0,0,2017-04-16
喜欢你,1.05263157895,1,2017-04-16
喜欢你,0.625,0,2017-04-17
喜欢你,0.625,1,2017-04-17
喜欢你,0.0,0,2017-04-18
喜欢你,1.0,1,2017-04-18
喜欢你,0.597014925373,0,2017-04-21
喜欢你,0.597014925373,1,2017-04-21
喜欢你,0.311653116531,0,2017-04-22
喜欢你,0.826558265583,1,2017-04-22
喜欢你,0.387096774194,0,2017-04-23
喜欢你,0.756598240469,1,2017-04-23
喜欢你,0.297176820208,0,2017-04-24
喜欢你,0.861812778603,1,2017-04-24
喜欢你,0.342163355408,0,2017-04-25
喜欢你,0.808498896247,1,2017-04-25
喜欢你,0.326086956522,0,2017-04-26
喜欢你,0.804347826087,1,2017-04-26
喜欢你,0.330097087379,0,2017-04-27
喜欢你,0.847896440129,1,2017-04-27
喜欢你,0.278202809848,0,2017-04-28
喜欢你,0.88051189317,1,2017-04-28
喜欢你,0.321386505132,0,2017-04-29
喜欢你,0.856469796399,1,2017-04-29
喜欢你,0.269612811676,0,2017-04-30
喜欢你,0.893979322927,1,2017-04-30
喜欢你,0.264037433155,0,2017-05-01
喜欢你,0.95922459893,1,2017-05-01
喜欢你,0.238410596026,0,2017-05-02
喜欢你,0.960264900662,1,2017-05-02
喜欢你,0.193986420951,0,2017-05-03
喜欢你,1.05722599418,1,2017-05-03
喜欢你,0.239043824701,0,2017-05-04
喜欢你,0.948207171315,1,2017-05-04
喜欢你,0.309951060359,0,2017-05-05
喜欢你,0.889070146819,1,2017-05-05
喜欢你,0.222057735011,0,2017-05-06
喜欢你,0.962250185048,1,2017-05-06
喜欢你,0.329896907216,0,2017-05-07
喜欢你,0.865979381443,1,2017-05-07
喜欢你,0.385232744783,0,2017-05-08
喜欢你,0.898876404494,1,2017-05-08
喜欢你,0.259259259259,0,2017-05-09
喜欢你,1.0,1,2017-05-09
喜欢你,0.337078651685,0,2017-05-10
喜欢你,0.898876404494,1,2017-05-10
喜欢你,0.295358649789,0,2017-05-11
喜欢你,0.886075949367,1,2017-05-11
喜欢你,0.534351145038,0,2017-05-12
喜欢你,0.610687022901,1,2017-05-12
喜欢你,0.285714285714,0,2017-05-13
喜欢你,0.938775510204,1,2017-05-13
喜欢你,0.327868852459,0,2017-05-14
喜欢你,0.983606557377,1,2017-05-14
喜欢你,0.551181102362,0,2017-05-15
喜欢你,0.629921259843,1,2017-05-15
喜欢你,0.0869565217391,0,2017-05-16
喜欢你,1.13043478261,1,2017-05-16
喜欢你,0.215053763441,0,2017-05-17
喜欢你,1.0752688172,1,2017-05-17
喜欢你,0.747663551402,0,2017-05-18
喜欢你,0.747663551402,1,2017-05-18
喜欢你,0.0,0,2017-05-19
喜欢你,1.15384615385,1,2017-05-19
喜欢你,0.451612903226,0,2017-05-20
喜欢你,0.709677419355,1,2017-05-20
喜欢你,0.526315789474,0,2017-05-21
喜欢你,1.05263157895,1,2017-05-21
喜欢你,0.0,0,2017-05-22
喜欢你,1.25,1,2017-05-22
喜欢你,0.47619047619,0,2017-05-23
