count|movieName|name|senti|week
33|功夫瑜伽|曾志伟|1.0|4
2|建军大业|马伊琍|1.0|2
34|嫌疑人x的献身|成泰燊|1.0|1
1|建军大业|冯文娟|1.0|2
8|京城81号2|连凯|1.0|0
1424|喜欢你|周冬雨|0.994413407821|1
1|春娇救志明|余文乐|0.5|4
1|建军大业|于和伟|1.0|0
10|悟空传|俞飞鸿|0.714285714286|3
4|春娇救志明|邵音音|1.0|1
1|京城81号2|林雪|1.0|5
2|春娇救志明|王晓晨|1.0|1
4|建军大业|张艺兴|1.0|0
123|记忆大师|段奕宏|0.991935483871|2
36|建军大业|杨祐宁|1.0|1
1|功夫瑜伽|索努·苏德|1.0|5
36|拆弹专家|宋佳|0.972972972973|2
3|喜欢你|奚梦瑶|1.0|3
7|三生三世十里桃花|李纯|0.875|1
206|记忆大师|徐静蕾|0.990384615385|2
3|喜欢你|孙艺洲|1.0|3
1|拆弹专家|姜皓文|1.0|3
77|大闹天竺|王宝强|0.785714285714|1
3|西游伏妖篇|包贝尔|1.0|5
6|京城81号2|连凯|0.461538461538|1
61|建军大业|霍建华|0.953125|1
1|建军大业|王挺|1.0|1
38|悟空传|郑爽|0.95|4
64|喜欢你|周冬雨|1.0|3
1|悟空传|郭子健|0.5|3
12|建军大业|刘伟强|0.923076923077|2
3|京城81号2|万国鹏|0.75|1
7|春娇救志明|秦沛|1.0|1
8|京城81号2|万国鹏|1.0|0
130|西游伏妖篇|徐克|0.935251798561|2
25|嫌疑人x的献身|张鲁一|0.961538461538|4
12|记忆大师|陈正道|1.0|5
9|喜欢你|许宏宇|0.9|1
3|逆时营救|金士杰|0.5|5
32|逆时营救|霍建华|1.0|3
98|记忆大师|黄渤|0.970297029703|3
1|拆弹专家|蔡瀚亿|1.0|5
135|逆时营救|杨幂|0.992647058824|3
968|战狼2|吴京|0.994861253854|1
4|功夫瑜伽|唐季礼|1.0|4
6|建军大业|陈晓|1.0|2
14|喜欢你|金城武|0.933333333333|4
8|建军大业|宋佳|1.0|1
58|嫌疑人x的献身|叶祖新|0.983050847458|1
11|建军大业|李现|1.0|1
3|春娇救志明|杨千嬅|1.0|4
13|拆弹专家|姜武|1.0|0
5|逆时营救|刘畅|0.833333333333|2
4|绣春刀2|武强|1.0|1
424|西游伏妖篇|吴亦凡|0.942222222222|2
3|西游伏妖篇|大鹏|1.0|0
28|嫌疑人x的献身|王凯|1.0|4
16|西游伏妖篇|林更新|1.0|0
1|拆弹专家|石修|1.0|3
65|建军大业|陈伟霆|0.955882352941|2
1|嫌疑人x的献身|邓恩熙|1.0|4
3|拆弹专家|邱礼涛|1.0|0
19|绣春刀2|张译|1.0|3
10|喜欢你|奚梦瑶|1.0|5
4|拆弹专家|黄日华|1.0|0
24|西游伏妖篇|王丽坤|0.923076923077|2
94|西游伏妖篇|林允|0.94|2
44|悟空传|倪妮|0.936170212766|3
1|西游伏妖篇|杨一威|1.0|3
52|悟空传|乔杉|0.928571428571|2
5|战狼2|张翰|1.0|0
2|逆时营救|刘畅|1.0|4
16|京城81号2|钟欣潼|0.8|2
642|建军大业|欧豪|0.978658536585|1
43|建军大业|刘烨|0.955555555556|2
17|大闹天竺|白客|1.0|0
6|建军大业|韩庚|1.0|2
11|功夫瑜伽|张艺兴|1.0|1
9|拆弹专家|吴卓羲|1.0|0
98|嫌疑人x的献身|林心如|0.989898989899|5
365|建军大业|李沁|0.963060686016|1
1|建军大业|王庆祥|1.0|2
2209|记忆大师|黄渤|0.996841155235|1
2|功夫瑜伽|张国立|1.0|0
137|建军大业|王景春|1.0|1
13|战狼2|高明|1.0|1
14|三生三世十里桃花|刘亦菲|1.0|0
2|京城81号2|钟欣潼|1.0|5
11|喜欢你|高晓松|1.0|0
1|春娇救志明|曾国祥|1.0|1
3|大闹天竺|柳岩|1.0|0
3|京城81号2|高捷|1.0|4
60|悟空传|俞飞鸿|0.769230769231|2
5|喜欢你|杨祐宁|1.0|2
588|绣春刀2|张震|0.989898989899|2
1|春娇救志明|王晓晨|1.0|0
343|建军大业|张艺兴|0.985632183908|1
27|记忆大师|段奕宏|1.0|3
71|京城81号2|张智霖|1.0|0
13|建军大业|包贝尔|1.0|1
146|拆弹专家|宋佳|0.986486486486|1
40|记忆大师|徐静蕾|0.975609756098|3
7|京城81号2|耿乐|1.0|0
2|建军大业|释小龙|1.0|1
199|大闹天竺|王宝强|0.966019417476|0
1|绣春刀2|姜晓冲|1.0|1
1|建军大业|周冬雨|1.0|0
17|喜欢你|林志玲|0.944444444444|2
108|三生三世十里桃花|罗晋|0.8|1
1|建军大业|郑元畅|1.0|2
2|西游伏妖篇|巴特尔|1.0|3
1|建军大业|郭晓东|1.0|0
3|大闹天竺|岳云鹏|1.0|0
2|春娇救志明|秦沛|1.0|0
2693|拆弹专家|刘德华|0.986808354709|1
1|三生三世十里桃花|彭子苏|1.0|1
270|嫌疑人x的献身|张鲁一|0.9963099631|5
25|战狼2|石兆琪|1.0|1
6|喜欢你|许宏宇|1.0|0
218|逆时营救|霍建华|0.973214285714|2
34|记忆大师|黄渤|0.971428571429|0
645|逆时营救|杨幂|0.972850678733|2
2949|战狼2|吴京|0.992929292929|2
3|功夫瑜伽|唐季礼|0.375|5
486|拆弹专家|刘德华|0.991836734694|2
10|嫌疑人x的献身|林心如|1.0|4
1|拆弹专家|蔡瀚亿|1.0|2
1|建军大业|宋佳|1.0|0
245|逆时营救|张艺瀚|1.0|1
1|建军大业|李现|1.0|0
31|西游伏妖篇|林允|0.96875|5
22|悟空传|欧豪|0.916666666667|4
13|嫌疑人x的献身|焉栩嘉|1.0|1
3|嫌疑人x的献身|叶祖新|1.0|3
5|功夫瑜伽|成龙|0.833333333333|1
3|逆时营救|刘畅|1.0|3
83|绣春刀2|金士杰|0.976470588235|1
730|西游伏妖篇|吴亦凡|0.95926412615|1
196|嫌疑人x的献身|王凯|0.98|5
22|三生三世十里桃花|严屹宽|0.785714285714|1
2|京城81号2|梅婷|1.0|5
4|嫌疑人x的献身|邓恩熙|1.0|5
24|拆弹专家|邱礼涛|0.923076923077|1
128|悟空传|余文乐|0.888888888889|1
2|拆弹专家|黄日华|1.0|3
9|西游伏妖篇|王丽坤|0.818181818182|3
163|悟空传|倪妮|0.915730337079|2
10|悟空传|乔杉|0.909090909091|3
262|战狼2|张翰|1.0|1
1|建军大业|叶筱玮|1.0|2
4|京城81号2|钟欣潼|0.8|3
2|嫌疑人x的献身|苏有朋|1.0|0
323|喜欢你|周冬雨|0.993846153846|2
10|京城81号2|邬君梅|1.0|0
71|建军大业|刘烨|0.972602739726|1
3|功夫瑜伽|母其弥雅|1.0|5
20|喜欢你|林志玲|1.0|0
510|功夫瑜伽|张艺兴|0.977011494253|0
2|建军大业|马天宇|1.0|0
12|西游伏妖篇|汪铎|1.0|1
5|功夫瑜伽|张国立|0.833333333333|3
29|三生三世十里桃花|杨洋|0.966666666667|0
1050|三生三世十里桃花|刘亦菲|0.893617021277|1
10|拆弹专家|廖启智|0.909090909091|1
2|三生三世十里桃花|赵小丁|0.666666666667|1
21|喜欢你|高晓松|1.0|1
169|建军大业|黄志忠|0.994117647059|2
30|大闹天竺|柳岩|0.882352941176|1
2|京城81号2|高捷|1.0|5
1|春娇救志明|邵音音|1.0|3
94|绣春刀2|张震|0.989473684211|3
158|记忆大师|许玮甯|0.969325153374|3
8|记忆大师|段奕宏|0.888888888889|0
108|京城81号2|张智霖|0.818181818182|1
7|拆弹专家|宋佳|1.0|0
16|记忆大师|徐静蕾|0.941176470588|0
16|京城81号2|耿乐|0.615384615385|1
130|建军大业|鹿晗|0.977443609023|1
3|记忆大师|杨子姗|0.75|0
44|建军大业|陈赫|0.936170212766|2
16|建军大业|周冬雨|1.0|1
1|西游伏妖篇|张美娥|1.0|1
3|建军大业|郑元畅|1.0|1
1|建军大业|小爱|1.0|2
3|西游伏妖篇|巴特尔|1.0|2
3|建军大业|郭晓东|1.0|1
29|大闹天竺|岳云鹏|0.852941176471|1
110|记忆大师|许玮甯|1.0|0
62|西游伏妖篇|徐克|0.939393939394|3
16|西游伏妖篇|徐克|0.8|4
2|京城81号2|万国鹏|0.666666666667|2
39|建军大业|刘伟强|1.0|1
3|绣春刀2|李媛|1.0|1
5|记忆大师|陈正道|1.0|3
19|西游伏妖篇|姚晨|0.904761904762|3
16|战狼2|弗兰克·格里罗|0.941176470588|2
882|逆时营救|霍建华|0.983277591973|1
18|绣春刀2|路阳|1.0|2
329|逆时营救|杨幂|0.92676056338|5
2|功夫瑜伽|唐季礼|0.666666666667|2
1|建军大业|陈晓|1.0|0
6|喜欢你|杨祐宁|1.0|1
3|记忆大师|陈正道|1.0|4
45|逆时营救|张艺瀚|0.978260869565|2
7|西游伏妖篇|林允|1.0|4
1|西游伏妖篇|汪铎|1.0|5
3|悟空传|乔杉|1.0|4
5|嫌疑人x的献身|焉栩嘉|1.0|2
1|功夫瑜伽|李治廷|1.0|1
14|拆弹专家|吴卓羲|1.0|5
186|功夫瑜伽|成龙|0.984126984127|0
6|拆弹专家|姜皓文|1.0|2
36|绣春刀2|金士杰|0.972972972973|2
