CNT,MovieName,Time
0 0 19 0 0,极限特工3：终极回归,2017-02-03
19 0 0 0 0,极限特工3：终极回归,2017-02-12
0 19 0 0 0,极限特工3：终极回归,2017-01-18
0 19 0 0 0,极限特工3：终极回归,2017-02-20
0 38 19 0 0,极限特工3：终极回归,2017-01-23
0 19 0 0 0,极限特工3：终极回归,2017-01-25
0 0 0 19 0,极限特工3：终极回归,2016-12-18
38 0 19 0 0,极限特工3：终极回归,2017-02-11
0 19 0 0 0,极限特工3：终极回归,2017-01-29
19 0 0 19 0,极限特工3：终极回归,2017-01-31
19 0 0 0 0,极限特工3：终极回归,2017-02-14
0 19 0 0 0,极限特工3：终极回归,2017-01-27
0 0 19 0 0,极限特工3：终极回归,2017-01-19
0 0 0 0 19,极限特工3：终极回归,2017-02-06
0 19 0 0 0,生化危机：终章,2016-12-25
0 38 0 0 0,生化危机：终章,2017-01-27
0 0 38 0 0,生化危机：终章,2017-02-15
19 0 19 0 0,生化危机：终章,2017-01-29
0 0 0 19 0,生化危机：终章,2016-12-23
0 0 0 19 19,生化危机：终章,2016-12-24
19 0 57 0 19,生化危机：终章,2017-02-24
0 0 19 0 0,生化危机：终章,2017-02-13
0 0 19 0 0,生化危机：终章,2016-12-28
0 0 19 0 0,生化危机：终章,2017-02-08
0 0 0 19 0,生化危机：终章,2017-01-21
0 0 0 0 19,生化危机：终章,2017-01-05
19 19 19 0 0,生化危机：终章,2017-02-21
0 0 0 19 0,生化危机：终章,2016-12-31
0 0 19 19 0,生化危机：终章,2017-02-19
0 0 0 19 0,生化危机：终章,2017-02-26
19 0 0 0 0,生化危机：终章,2017-01-30
0 0 38 0 0,生化危机：终章,2017-02-25
0 0 19 0 0,生化危机：终章,2017-02-12
0 0 0 0 19,生化危机：终章,2016-12-27
0 0 0 19 0,生化危机：终章,2017-01-08
0 0 0 38 0,生化危机：终章,2017-01-28
0 0 0 0 19,生化危机：终章,2017-01-22
0 19 0 0 0,生化危机：终章,2017-01-26
450 75 74 75 38,乘风破浪,2017-01-28
38 37 0 0 38,乘风破浪,2017-01-27
38 0 0 0 38,乘风破浪,2017-01-23
0 38 0 0 0,乘风破浪,2017-01-19
0 0 38 0 0,乘风破浪,2017-01-21
0 0 38 0 0,乘风破浪,2017-01-26
38 0 0 0 0,乘风破浪,2017-01-24
0 38 0 0 0,乘风破浪,2017-01-25
0 0 0 38 0,乘风破浪,2017-01-20
0 0 0 38 0,乘风破浪,2017-01-22
0 0 111 37 0,乘风破浪,2017-01-18
0 0 37 37 0,乘风破浪,2017-01-30
0 74 0 0 0,乘风破浪,2017-01-29
37 0 0 0 0,乘风破浪,2017-02-02
0 0 38 0 0,神偷奶爸3,2017-06-26
19 57 0 0 19,神偷奶爸3,2017-06-30
0 0 19 19 0,神偷奶爸3,2017-07-02
0 19 0 0 0,神偷奶爸3,2017-06-24
0 38 0 19 19,神偷奶爸3,2017-07-04
0 38 19 76 0,神偷奶爸3,2017-07-01
0 19 19 0 0,神偷奶爸3,2017-06-17
0 0 19 0 0,神偷奶爸3,2017-06-25
0 76 19 19 19,神偷奶爸3,2017-07-07
0 38 0 0 19,神偷奶爸3,2017-07-06
0 0 0 0 19,神偷奶爸3,2017-07-05
0 19 0 0 0,神偷奶爸3,2017-07-10
0 0 0 19 0,神偷奶爸3,2017-07-09
0 0 19 0 0,神偷奶爸3,2017-07-03
19 0 0 0 0,神偷奶爸3,2017-08-05
0 19 38 38 57,金刚狼3：殊死一战,2017-03-03
0 0 0 0 19,金刚狼3：殊死一战,2017-02-23
0 0 0 19 0,金刚狼3：殊死一战,2017-02-26
0 19 0 19 0,金刚狼3：殊死一战,2017-02-24
0 0 0 19 57,金刚狼3：殊死一战,2017-03-02
0 0 19 19 19,金刚狼3：殊死一战,2017-03-04
0 0 0 38 0,金刚狼3：殊死一战,2017-02-17
0 0 0 19 19,金刚狼3：殊死一战,2017-03-05
0 0 0 76 19,金刚狼3：殊死一战,2017-02-18
0 0 19 38 0,金刚狼3：殊死一战,2017-02-28
0 19 0 19 0,金刚狼3：殊死一战,2017-03-01
