姓名|角色名称|中文名|英文名|别名|粉丝名
丁汀|[('封神榜之武王伐纣', '金吒')]|丁汀|ding ting|无|无
丁汇宇|[('真命天子', '郭天爵'), ('封神英雄榜2', '吴龙'), ('0号刺杀', '彭来峰'), ('家和万事兴', '张晓飞'), ('百万新娘之爱无悔', '丁丁'), ('隋唐英雄', '马三保'), ('活佛济公3', '萧风'), ('活佛济公2', '张鹿'), ('新洛神', '无言'), ('聊斋新编之画皮新娘', '王子玉'), ('恐怖游泳馆', '莫凡')]|丁汇宇|leo|丁卓|无
丁绮|[('张震讲故事之合租屋', '许沫伊'), ('决战程子沟', '翠翠'), ('白玉堂探案传奇', '范月婷'), ('侨女日记', '李雯雯'), ('药都往事', '红芍'), ('一剑钟情', '华华'), ('奔袭桐柏', '杜鹃'), ('士兵武文斌', '王彤'), ('五品县令', '杨盼盼'), ('花儿', '花儿'), ('夏日的微笑', '阿薇'), ('阳光普照大地', '邹荻玉'), ('军人机密', '谢盼盼')]|丁绮|无|无|无
万仓|[]|万仓|无|无|无
万国鹏|[('三少爷的剑', '-'), ('死党', '牛大泽'), ('恭喜发财之谈钱说爱', '断片小师兄'), ('我是路人甲', '万国鹏'), ('你想多了', '呆萌木头男友'), ('小主起来嗨', '鲁蛋')]|万国鹏|无|无|无
万思维|[('雷锋的微笑', '雷锋'), ('爱你一生一世', '童子山'), ('一起飞', '萧寒'), ('飞天', '王小军'), ('离爱只有半米远', '尹大壮'), ('王子雄兵', '梁大维'), ('八月一日', '陈庚'), ('丛林无边', '向吉光'), ('打土匪', '沐剑晨'), ('女兵突击', '尚武'), ('女匪首传奇', '百子'), ('铁血将军', '姚郁光'), ('裸婚之后', '钟亦诚'), ('国家记忆', '段振国'), ('错嫁', '周鼎元'), ('四手妙弹之露结为霜', '叶凡'), ('十三格格新传', '张海生'), ('第五空间', '沃威'), ('大明医圣李时珍', '李行义'), ('像傻瓜一样去爱', '鲍迪'), ('风流侨女', '刘子豪'), ('大宋才子黄庭坚', '宋神宗'), ('徽娘宛心', '杜子健'), ('爱在战火纷飞时', '张世俊'), ('爱上单眼皮男生', '聂左'), ('非常女生', '王岩')]|万思维|无|军军|无
万梓良|[('古惑仔:江湖新秩序', '蒋天养'), ('悬红', '利星旅店孙老板'), ('烂赌夫斗烂赌妻', '客串'), ('李小龙我的兄弟', '吴楚帆'), ('翡翠明珠', '番王'), ('兄弟', 'fidelity'), ('古蛊惑仔6胜者为王', '客串'), ('赌侠大战拉斯维加斯', 'peter chu'), ('古惑仔5龙争虎斗', '蒋天养'), ('古惑仔之战无不胜', '蒋天养'), ('赌城大亨之新哥传奇', '郭英南'), ('赌城大亨Ⅱ至尊无敌', '郭英南'), ('胜者为王', '宫本次郎'), ('大哥大续集', '吴进成'), ('英伦越战', '陈广'), ('烈火情仇', '李华宇'), ('义胆雄心', '范志洪'), ('香港舞男', 'alex man'), ('出土奇兵', '雷将棍'), ('喋血风云', '万勇强'), ('我在江湖', '方景雄'), ('城市判官', '阮兆豪'), ('再起风云', '孙文光'), ('旺角卡门', 'tony'), ('法中情', '方伟'), ('大哥大', '吴进成'), ('胭脂扣', '袁永定'), ('不夜天', '阎立山'), ('兄弟', '李强'), ('水儿武士', '山君'), ('替枪老豆', '梅德生'), ('唐朝豪放女', '崔博侯'), ('新飞狐外传', '苗人凤'), ('青蛙王子', 'joseph'), ('爱奴新传', '凌云'), ('等待黎明', '黄克强'), ('如来神掌', '火云邪神古汉魂'), ('疯劫', '阮仕卓'), ('春天的绞刑架', '赵书阁\xa0'), ('多情江山', '洪承畴'), ('密战峨眉\xa0', '神父\xa0'), ('七侠五义人间道', '包拯'), ('潜龙行动', '陆明亮'), ('岁月骄阳', '李金魁'), ('美丽传说2星愿', '展鸿图'), ('伙头智多星', '味至尊'), ('花自飘零', '杨志鸣'), ('阿郎在北京', '阿郎'), ('天地良心', '赵忠全'), ('陌生人', '钟庆生'), ('编辑部的故事之万事如意', '万梓良'), ('一路风尘', '李开朗'), ('万里长情', '李长旺'), ('金枕头', '赛认娘'), ('侠义见青天', '欧阳春'), ('龙兄鼠弟', '雷文凤'), ('巨人', '乐言'), ('大家族', '蒋进'), ('笑傲在明天', '许忠信'), ('他来自江湖', '明天'), ('当代男儿', '程家俊'), ('生命之旅', '沈志豪'), ('成吉思汗', '铁木真'), ('季节', '向阳'), ('陆小凤之凤舞九天', '陆小凤'), ('英雄故事', '石伟男'), ('流氓大亨', '方谨昌'), ('神雕侠侣', '陆立鼎'), ('爱情跑道', '韦清辉'), ('烽火情仇', '祁天生'), ('游侠张三丰', '张三丰'), ('天使危机', '司徒伟'), ('浮生六劫', '蔡靖康'), ('大内群英', '雍正'), ('大内群英续集', '乾隆'), ('太极张三丰', '张君宝'), ('奇女子', '李康瑞'), ('侠盗风流', '南宫逸'), ('天龙诀', '正德帝'), ('追族', '雍景伦'), ('三少爷的剑', '谢晓峰'), ('薛仁贵征东', '薛仁贵')]|万梓良|alex man|万子|无
万绮雯|[('追凶', '刘青云的老婆-惠'), ('银河宝贝', '妈妈'), ('得闲炒饭', 'eleanor'), ('精武真英雄', '王凤'), ('麻烦三角错', '陈惠'), ('泪眼杀星之八百龙兵团', '梦'), ('改正归邪', 'ok姐'), ('尸前想后', '万雯雯'), ('浪漫枪声', '余情'), ('山村老尸Ⅱ之色之恶鬼', '蓝精灵'), ('僵尸国度∕赶尸先生', '金田一'), ('炭烧凶咒', '家宝'), ('山村老尸Ⅱ之色之恶鬼', '蓝精灵'), ('阴风耳', 'fanny'), ('龙在边缘', '昭昭'), ('赌命千王', '雯雯'), ('慈云山十三太保', '小妹'), ('白发魔女传Ⅱ', '虞琴'), ('情迷特警∕香港特警组', '阿美'), ('beyond日记之莫欺少年穷', '交通女警'), ('致命复活', '阮乔'), ('东坡家事', '王润之'), ('老表,你好hea！', '易雪飞'), ('八卦神探', '车季菲'), ('食为奴', '纪慕雪'), ('老表,你好嘢!', '易雪飞'), ('好心作怪', '唐善行'), ('法网群英', '蒙至善'), ('毒海浮生之失落的美丽', '敏 敏'), ('爸爸向前走', '常 \xa0萍'), ('爸爸两边走', '常 \xa0萍'), ('我和僵尸有个约会3', '马小玲'), ('万家灯火', '高 \xa0丽'), ('吉祥任务', '戴诗馨'), ('新楚留香', '云罗公主'), ('我和僵尸有个约会ii', '马小玲、马丹娜、马灵儿'), ('我和僵尸有个约会', '马小玲、马丹娜'), ('呆佬贺寿', '苏凤妮'), ('97变色龙', '何雪儿'), ('我和春天有个约会', '蓝凤萍'), ('包青天之雾锁开封', '上官虹'), ('飘零燕', '客串长大后的“小燕”'), ('999谁是杀手', '林静娴'), ('一人有一个理想', '二妹'), ('精武门', '武田由美'), ('郎心如铁(又名:失落真心)', '唐敏明'), ('碧血青天珍珠旗', '顾小怜'), ('城中姐妹花Ⅱ之子夜情人', 'bobo'), ('枪神', '敖明'), ('米格忠魂', '汪家玲'), ('胜者为王3王者之战', '郭静蓉'), ('赌神秘笈', '李敏'), ('伯虎为卿狂', '八妻/邱德兰'), ('龙在江湖', 'phoebe'), ('胜者为王Ⅱ天下无敌', '张家慧'), ('大提琴与点三八', '朱蓝蓝'), ('过界时代', '莫纪文'), ('学堂威龙', '汪家玲'), ('香港奇案之雾夜屠夫', '诗洁欣'), ('香港奇案之黑钱年代', '阿琪'), ('蓝月亮', '姚慧芝'), ('代代平安', '李小兰'), ('司机大佬', '方小玉')]|万绮雯|joey meng yee man|万二蚊、十三万、蚊蚊|无
万茜|[('心理罪', '乔兰'), ('荡寇风云', '戚夫人'), ('改头换面', '--'), ('你好，疯子！', '安希'), ('捉迷藏', '萍芝'), ('青田街一号', '林香'), ('军中乐园', '妮妮'), ('圣诞玫瑰', 'megan'), ('柳如是', '柳如是'), ('剑蝶', '客串'), ('三国机密', '伏寿'), ('大唐荣耀', '独孤靖瑶'), ('将婚姻进行到底', '江一凡'), ('脱身者', '黄俪文'), ('猎场', '熊青春'), ('海上牧云记', '南枯月漓（特出）'), ('熟男养成记', '沈语桐'), ('铁血淞沪', '周沪萍'), ('好先生', '徐丽（客串）'), ('天生要完美', '蒋丹晨'), ('孩子回国了', '张嘉超'), ('十送红军', '戴澜'), ('婚战', '海兰'), ('特种兵之火凤凰', '安然'), ('花非花雾非雾', '白海华'), ('小儿难养', '简艾'), ('我家有喜', '白木喜'), ('决战前', '冯雨菲'), ('儿女情更长', '张茜'), ('假如我是真的', '钱小岁'), ('传奇之王', '剑屏'), ('裸婚时代', '陈娇娇'), ('生死桥', '段娉婷'), ('我的孩子我的家', '林雨虹'), ('上海上海', '刘晓男'), ('浴血记者', '范晓芸'), ('开国前夜', '顾青青'), ('长江一号', '许昳初'), ('密令1949', '杨柳'), ('青天衙门Ⅱ伏魔录', '谭小玉'), ('观世音之观音妙缘', '田素真'), ('天使的歌声', '陈子薇'), ('金锁记', '娟儿')]|万茜|wan qian|万万、万爷、茜茜、老万、万老板|无
无|[]|无|无|无|无
