姓名|角色名称|中文名|英文名|别名|粉丝名
刘惠|[('再见，老婆大人', '刘总'), ('医馆笑传', '曹少钦'), ('魔幻手机2傻妞归来', '黄大福'), ('唐朝好男人', '程咬金'), ('战火兵魂', '赵福才'), ('兵临村下', '江琦'), ('绿水', '李达缺'), ('零炮楼', '姜副官'), ('新编辑部故事', '幸福企业家'), ('草帽警察', '哈副镇长'), ('大宅门1912', '胡鲁'), ('aa制生活', '大伟父'), ('无懈可击之高手如林', '汤爸爸'), ('盛女的黄金时代', '梁国栋'), ('欢喜婆婆俏媳妇', '硕王爷'), ('朋友一场', '杜胖子'), ('大丫鬟', '桑老三'), ('国球', '张方'), ('超人马大姐', '刘勇'), ('茶馆', '吴祥子'), ('糊涂小天使', '朱经理'), ('小房东', '王大拿'), ('武林外传', '诸葛孔方'), ('老威的x计划', '乔子惠'), ('重案六组2', '毛大勇')]|刘惠|无|无|无
刘承俊|[('紫霞', '不空'), ('金刚王', '苍生大介'), ('太极侠', '黑拳拳手'), ('硬汉奶爸', '程朗'), ('十二生肖', '海盗王(客串'), ('分手达人', '马友伯'), ('双城计中计', '林啸东'), ('硬汉2:奉陪到底', '黑勇'), ('大兵小将', '文公子'), ('精忠岳飞', '完颜宗弼(金兀术)')]|刘承俊|유승준/yoo seung jun/steve|jun、俊哥|无
刘承羽|[('孟买酒店', '\xa0布莉'), ('唐人街探案2', '陈英'), ('马戏之王', 'deng yan'), ('卧虎藏龙：青冥宝剑', '雪瓶')]|刘承羽|natashaliubordizzo|无|无
刘挺|[]|刘挺|无|无|无
刘政|[]|无|无|无|无
刘敏涛|[('凰权·弈天下', '秋明缨'), ('欢乐颂2', '关妈'), ('问题餐厅', '尹梅'), ('因为遇见你', '宋秀华'), ('一起长大', '邓子姗'), ('安居', '韩冰'), ('守婚', '王桂英'), ('欢乐颂', '关母'), ('琅琊榜', '静妃'), ('伪装者', '明镜'), ('长白川', '高红叶'), ('湄公河大案', '坎兰'), ('汉阳造', '余江琴'), ('父母爱情', '葛美霞'), ('温州一家人', '李阿香'), ('大地情深', '八翠'), ('买房夫妻', '阎樱花'), ('五湖四海', '姜新民'), ('向幸福前进', '向前芳'), ('风车', '陆洁修'), ('娘', '穗儿'), ('楼王之谜', '岳静水'), ('血色湘西', '童莲'), ('罪之缘', '秦海鸥'), ('惊险生活', '李玫'), ('靠近你，温暖我', '秦书雁'), ('福贵', '陈家珍'), ('前门楼子九丈九', '奎俊儿'), ('大宋提刑官2', '英姑'), ('冬至', '郁青青'), ('案发现场', '叶玲'), ('我们的连队', '黄丽菲'), ('长空铸剑', '司小绵'), ('体育人家', '罗美丽\xa0'), ('永不低头的向日葵', '劳思思'), ('乱世有情天', '于金枝'), ('朱德元帅', '陈玉珍'), ('天涯未了情', '都市青年'), ('筒子楼', '王艺文'), ('中关村', '苏婷婷'), ('人鬼情缘', '聂小倩'), ('风暴眼', '梅洁'), ('点击西区', '伊妹儿'), ('天边有个威海卫', '下岗女工'), ('派出所的故事', '\xa0艾虹'), ('海风吹过的乡村', '梁惊蜇'), ('母亲', '张红英'), ('你好,西拉沐浴', '玉珍'), ('凤阳小子朱元璋', '霜叶'), ('女人在家', '小蓉'), ('没有国籍的女人', '小梅'), ('黑蝴蝶', '齐琳'), ('谁的青春不迷茫', '张兰'), ('黑暗中的救赎', '纪梅'), ('北川重生', '韩慧'), ('梦一般飞翔', '丁楠'), ('妈妈没有走远', '丁艺')]|刘敏涛|无|无|无
刘文卿|[]|刘文卿|liu wenqing|无|卿草
刘昊然|[('2018-02-16', '秦风'), ('妖猫传', '白龙'), ('2017-07-27', '粟裕'), ('大闹天竺', '二郎神（友情客串）'), ('双生', '李拼'), ('幸福马上来', '马晓（友情客串）'), ('唐人街探案', '秦风'), ('栀子花开', '主持人（友情客串）'), ('北京爱情故事', '宋歌'), ('2017-06-12', '铁腕音乐制作人（友情客串）'), ('琅琊榜之风起长林', '萧平旌'), ('远大前程', '霍震霄（友情客串）')]|刘昊然|无|刘源（本名）|无
刘晓庆|[('大轰炸', '郑夫人'), ('快手枪手快枪手', '金三娘'), ('鬼吹灯之寻龙诀', '虹姐'), ('杨门女将之军令如山', '柴郡主'), ('37', '奥优'), ('春花开', '谢春花'), ('大太监李莲英', '慈禧'), ('红楼梦', '王熙凤'), ('红楼梦', '王熙凤'), ('一代妖后', '慈禧'), ('大清炮队', '冯玉舒'), ('春桃', '春桃'), ('芙蓉镇', '胡玉音'), ('无情的情人', '娜梅琴措'), ('三宝闹深圳', '女经理'), ('北国红豆', '鲁雪枝'), ('垂帘听政', '慈禧'), ('火烧圆明园', '慈禧'), ('心灵深处', '欧阳兰'), ('潜网', '罗弦'), ('许茂和他的女儿们', '七姑娘徐真'), ('神秘的大佛', '孟婕'), ('原野', '花金子'), ('瞧这一家子', '张岚'), ('婚礼', '盛敏'), ('小花', '何翠姑'), ('春歌', '李翠枝'), ('同志，感谢你', '杨洁'), ('南海长城', '甜女'), ('共和国工人之我有一个梦', '秀兰、叶春儿'), ('隋唐英雄3', '阿史那燕'), ('隋唐英雄4', '阿史那燕'), ('隋唐英雄', '萧后'), ('养女', '刘鉴英'), ('花灯满城', '卓云'), ('武则天秘史', '武则天'), ('红玫瑰黑玫瑰', '宋大川'), ('徐悲鸿', '蒋碧微'), ('凝香劫', '唐母'), ('澄江情愿', '刘桂英'), ('云袖', '梁云袖'), ('宝莲灯前传', '王母娘娘'), ('女人何苦为难女人', '章玉英'), ('日月凌空', '武则天'), ('阿有正传', '珍格格'), ('徽娘宛心', '吴太太'), ('宝莲灯', '王母娘娘'), ('我的兄弟姐妹', '爱莲'), ('欢乐桑田', '麻姑'), ('京城四少', '九姨娘'), ('谁主沉浮', '孝庄皇太后'), ('281封信', '方美惠'), ('江山美人', '孟太后'), ('永乐英雄', '锦娘'), ('火凤凰', '阿桃'), ('逃之恋', '小凤仙'), ('火烧阿房宫', '燕国公主夷佶'), ('武则天', '武则天'), ('包青天', '女主角'), ('风华绝代', '邝春妮')]|刘晓庆|无|无|无
刘晓晔|[('三生三世十里桃花', '乐胥娘娘'), ('上瘾', '姜圆'), ('盛夏晚晴天', '万华'), ('问心无愧', '刘晶'), ('新还珠格格', '令妃'), ('爱的契约', '祁娜'), ('丑女无敌第四季', '苏蕾'), ('刁蛮新娘', '刘小芳'), ('丑女无敌第二季', '苏蕾'), ('丑女无敌第三季', '苏蕾'), ('丑女无敌第一季', '苏蕾'), ('猎狐', '苏娅'), ('那些迷人的往事', '朵松霖'), ('大珍珠', '黄美玲'), ('吴承恩与西游记', '芩珍'), ('女人本色', '刘菁'), ('走出硝烟的男人', '苏瑞娟'), ('ai特警队', '夏雪'), ('爱在战火纷飞时', '杨紫云'), ('体育人间', '柳恒'), ('绝色双娇Ⅱ/皇后进宫', '珍珠'), ('反黑组/冷锋', '崔晓娜'), ('寂寞难捱', '孟思悦'), ('王渔洋查案', '索金珠'), ('终极目标', '梁雨楠'), ('无怨无悔', '奚美娜'), ('牛哥的故事', '何佳'), ('无悔的忠诚', '魏婷'), ('皇后进宫', '珍珠'), ('沧海游龙', '银狐公主'), ('皇嫂田桂花', '蓝小青'), ('集体宿舍', '任小乔'), ('大漠皇妃', '金灵玉')]|刘晓晔|无|无|无
刘松仁|[('2017-04-14', '钟克明'), ('志在四方2', '郑守义'), ('华丽转身', '罗斌汉'), ('步步惊情', '康震天'), ('名媛望族', '钟卓万'), ('鱼跃在花见', '慕容澄'), ('潜行狙击', '巩家培'), ('斗红颜', '苏老爷'), ('步步惊心', '康熙'), ('摘星之旅', '海亮'), ('新萍踪侠影', '谢天华'), ('蔡锷与小凤仙', '蔡锷'), ('原来爱上贼', '高哲'), ('玫瑰江湖', '君无忌'), ('岁月风云', '华文翰'), ('男人之苦', '康天任'), ('争霸', '越王勾践'), ('天下第一', '朱无视'), ('八大豪侠', '关玉楼'), ('我只在乎你', '王浩然'), ('翡翠恋曲', '梁柏言'), ('西关大少', '周明轩'), ('英雄刀少年', '陈道扬'), ('倚天屠龙记', '张翠山'), ('婚前昏后', '孙学祺'), ('纵横天下', '高浩云'), ('嫁错妈', '霍伟'), ('廉政追击', '李天'), ('无业楼民', '洪大龙'), ('一枝花和尚', '林冲'), ('倩女奇冤之新窦娥冤传奇', '陶伍'), ('闻一多', '闻一多'), ('亡命天涯', '荣仁杰'), ('真爱缘来是你', '关竟生'), ('千王之王重出江湖', '李抑'), ('一切从失踪开始', '张伟聪'), ('碧血青天珍珠旗', '狄青'), ('廉政行动', '李天'), ('侠义见青天', '展昭'), ('大时代', '方进新'), ('碧海情天', '天养'), ('江湖再见', '周胜龙'), ('八月桂花香', '胡雪岩'), ('法网柔情', '倪博文'), ('还君明珠', '秦天宝'), ('啼笑因缘', '樊家树'), ('秦始皇', '荆轲'), ('九月鹰飞', '叶开'), ('时势英雄', '原镇乐'), ('萍踪侠影录', '张丹枫'), ('剑仙李白', '李白'), ('京华春梦', '金振西'), ('风尘泪', '叶盛兰'), ('大地恩情·古都惊雷', '周启华'), ('icac', '李天'), ('刀神', '丁鹏'), ('大亨', '朱乐民'), ('陆小凤·武当之战', '陆小凤'), ('大报复', '毕康'), ('陆小凤之决战前后', '陆小凤'), ('梁山伯与祝英台', '梁山伯'), ('近代豪侠·大刀王五', '谭嗣同'), ('近代豪侠·小凤仙', '蔡锷'), ('陆小凤之金鹏之谜', '陆小凤'), ('幻海奇情', '洪少爷'), ('陆小凤', '陆小凤'), ('半生缘', '张豫瑾'), ('狂潮', '王栋材'), ('冬绿', '艾文荻'), ('烟水寒', '黎群')]|刘松仁|damian lau|松哥|无
刘桦|[('小乔遇上潘多拉', '毕蒙'), ('芙蓉诀', '土匪'), ('岳父也是爹', '吴秀英'), ('三十岁，你好', '孙总'), ('咱们结婚吧', '红酒商'), ('义者无敌', '潘毓桂'), ('而立之年', '曹可安'), ('迷失的情感', '张振强'), ('二号交通站', '造谣者'), ('老牛家的战争', '福晓宁'), ('知县叶光明', '冯瘸子'), ('迷失洛杉矶', '李德福'), ('疯狂的骗局', '老鹰'), ('谍影重重之上海', '杜月笙'), ('情证今生', '独眼龙'), ('前门楼子九丈九', '张福'), ('居家男人', '男保姆'), ('立案侦查', '张栩'), ('走过幸福', '刘明'), ('高老头奇遇记', '教练'), ('筒子楼', '李守财'), ('贻笑大方', '螃蟹'), ('贫嘴张大民的幸福生活', '古三儿'), ('东周列国·春秋篇', '易牙'), ('三国演义', '许贡三门客之一'), ('活宝', '李打听'), ('三个孬家伙', '海哥'), ('老炮儿', '灯罩儿'), ('斗地主', '军阀老k'), ('黄金福将', '王正道'), ('好命先生', '九哥'), ('最佳嫌疑人', '李富华'), ('西游记之大闹天宫', '东海龙王'), ('疯狂的导演', '父亲宋阳'), ('幸福迷途', '宋安邦'), ('冰雪11天', '老马'), ('四戒', '甄承宗'), ('黄金大劫案', '五哥'), ('一夜成名', '范娱乐'), ('真心话大冒险', '王伯'), ('饭局也疯狂', '封老板'), ('无价之宝', '蛇哥'), ('建党伟业', '程子卿'), ('刀见笑', '戏班班主'), ('爱情36计', '十三豆'), ('魔侠传之唐吉可德', '令狐有味'), ('绝命岛', '龙爷'), ('一不留神', '侯木柜'), ('大有前途', '刘艺风'), ('熊猫大侠', '王老吉'), ('盗版爱情', '李老板'), ('皇家刺青', '牢头'), ('建国大业', '警察队长'), ('万家灯火', '何老二'), ('气喘吁吁', '白先生'), ('欠我十万零五千', '喜哥'), ('即日启程', '群头'), ('十全九美', '洪盖天'), ('婚礼2008', '光叔'), ('我叫刘跃进', '老邢'), ('爱情呼叫转移', '贼(客串)'), ('欢天喜地', '陆和川'), ('大电影之数百亿', '债主'), ('疯狂的石头', '道哥')]|刘桦|hua liu|道哥|无
刘梓妍|[('身边的幸福', '叶冰'), ('陶之恋', '林婷月, 陆晓彤'), ('巾帼大将军', '华玉荷'), ('阳光天使', '殷安琪'), ('男儿本色', '陈华青'), ('可怜天下父母心', '方雯'), ('黄河那道弯', '李晓兰'), ('咏春', '小馒头'), ('巴黎假期', '赵雨晴'), ('风云2', '妃子'), ('双龙记', '小馒头'), ('男儿本色', '何家怡')]|刘梓妍|candy liu|小馒头|无
刘楚恬|[('芈月传', '小芈月'), ('小爸妈', '莫语恬（恬恬）'), ('我爱男保姆', '方可（可可）'), ('云巅之上', '小简兮'), ('爷们儿', '李婷北\xa0(北北）'), ('秦时明月', '高月'), ('喵星人', '吴优优'), ('路垚知马俐', '小马俐'), ('天将雄狮', '书斋小女孩'), ('西游记之三打白骨精', '素儿（巩俐小时候）')]|刘楚恬|无|恬恬，小恬恬|无
刘永奇|[]|刘永奇|无|无|无
刘汉兆|[('你是猪么', '冠东'), ('无懈可击之高手如林', '滑板男孩'), ('半路夫妻', '客串'), ('百姓聊斋', '王浩'), ('惊魂绣花鞋', '安霖'), ('会痛的十七岁', '未知'), ('流氓师姐', '未知'), ('型色男女', '客串')]|刘汉兆|steven|刘得森|无
刘泳希|[('道高一丈', '金子梦'), ('闪光少女', '小霾'), ('血战上海滩2', '山口香子'), ('监狱风云之血战上海滩', '山口香子'), ('别逼我', '庄小喵'), ('永宁往事', '陈思宁'), ('结爱·千岁大人的初恋', '辛小菊'), ('民族记忆', '乔参雨'), ('超萌一家', '沈茹星'), ('人类体检报告', '刘泳希'), ('超能快递侠', '端木蓉')]|刘泳希|无|无|无
刘洋|[('抹布女也有春天', '那洋'), ('芬芳岁月', '宋颜'), ('天地姻缘七仙女', '五公主青儿'), ('神鬼八阵图', '杨玉环'), ('梅花档案2', '刘白'), ('暴雨梨花', '白云菲'), ('后代', '孟晗'), ('欢天喜地七仙女', '大公主红儿'), ('傲剑江湖', '李承颂'), ('财神客栈', '玉玲珑'), ('大内密探灵灵狗', '袁若男'), ('未来警察', '小飞'), ('撕票风云', '小月'), ('神枪手与智多星', '迷香'), ('硬汉', '小草'), ('我的高个女友', '林英'), ('美女食神', '米玉莹')]|刘洋|无|洋洋、小粉、大大|无
刘洋影子|[('《飘落的羽毛》', '叶拉'), ('《一直是晴天》', '童彤')]|刘洋影子|shadow|玉玲珑|无
刘洛汐|[('扶摇皇后', '阿烈')]|刘洛汐|无|无|无
刘浩龙|[('末日派对', '师兄'), ('高海拔之恋Ⅱ', '小磊'), ('窃听风云2', '徐海'), ('为你钟情', '私家侦探leslie'), ('火龙对决', '海仔'), ('神枪手', '雪人'), ('飞砂风中转', '永仁'), ('拥抱每一刻花火', '杨sir'), ('廉政行动2011', '沈世民'), ('盛装舞步爱作战', '奇幻潮'), ('赤沙印记@四叶草.2', '双面伊人')]|刘浩龙|wilfred, lau ho lung|师兄 c hing 啊七|无
刘添月|[('猛兽列车', '北川美幸'), ('未婚妻', '猴子的姐姐'), ('我的妈妈是天使', '柳叶眉'), ('冷风暴', '金城玲子'), ('潜龙行动', '冬雪'), ('摩登新人类', '白雨'), ('命运', '尤妮'), ('西游记', '真真'), ('红警', '方小婷'), ('玉井传奇', '黄徽淑'), ('重返上海滩', '杜真真'), ('大唐游侠传', '夏凌霜'), ('雨季不再来', '周明明'), ('迷路', '赵领班'), ('你有权保持沉默', '杜芸丽'), ('肇事追踪', '瞿木瞳'), ('吴越钱王', '羽屏'), ('曹老板的十八个秘书', '蔡晓薇'), ('汉城之恋', '许洁宜（客串）'), ('妈妈我拿什么爱你', '陶莉莉'), ('聂耳', '王人美'), ('香樟树', '伊蕊（客串）'), ('饮食男女', '美吉'), ('火帅', '葛草'), ('名捕震关东', '宝银'), ('行行出状元', '钱姗姗'), ('十八岁的天空', '薄荷红茶（客串）'), ('锵锵儿女到江湖', '韩玉婷'), ('二分之一奇案', '阿咪'), ('锦绣前程', '司琴'), ('暴走吧，女人', '姗姗'), ('宝马狂想曲', '侯慧云'), ('我要回家', '靳燕'), ('玩命魔术', '元可卿'), ('守望平安', '安然'), ('海角惊魂', '雪儿')]|刘添月|yuri，ゆり( 中文百合的意思)|刘嘉悦|无
刘滢|[('九九', '芸香'), ('美丽童年', '覃月妈妈'), ('代号', '秀芝'), ('国脉风云', '王子涵'), ('蕾女心经', '宁可风'), ('马向阳下乡记', '丁秋香'), ('战火西北狼', '崔珊'), ('太阳月亮一条河', '南南'), ('双枪李向阳', '绣花'), ('迎春花', '淑娴'), ('苦菜花', '杏莉'), ('封门诡影', '笑笑'), ('我爱灰太狼', '香香小姐'), ('凌河影人', '灯儿'), ('幸福的小河', '扣子')]|刘滢|无|无|无
无|[]|刘珈彤|无|无|无
刘畅|[('秦时丽人明月心', '荆轲'), ('九州·天空城', '白庭君'), ('甜蜜生活', '温大仁'), ('冷宫传', '皇上'), ('极品女士第二季', '客串'), ('致命倒数', '大雄'), ('陪安东尼度过漫长岁月', '安东尼')]|刘畅|无|刘师傅、畅畅、小六|蛋炒饭
刘畊宏|[('流星花园Ⅱ', '阿德'), ('追夫三人行', '朱冠堂'), ('贫穷贵公子', '杉浦'), ('情书', '雷涛\xa0'), ('熊猫人', '残狼'), ('情人看招', '杜杰克'), ('18岁的约定', '高东俊'), ('激战', '姜志华\xa0'), ('天台爱情', '监制、客串'), ('囧人之越挠越痒', '雪松'), ('苏乞儿', '铁男'), ('刺陵', '星期五'), ('大灌篮', '李天'), ('头文字d', '岩城清次（扫把头）')]|刘畊宏|will liu|无|无
刘筱筱|[('情比山高', '李鹭'), ('飘落的羽毛', '婻锁'), ('守株人', '畅畅'), ('我的女神我的妈', '吴一洁'), ('我的继父是偶像', '苗欣'), ('憨媳从军', '花水仙'), ('美人制造', '若梅'), ('宫锁连城', '如燕'), ('十月围城', '区舒云'), ('龙门镖局', '姜若兰'), ('极品男女日记', '李楚'), ('建元风云', '郝沁'), ('隋唐演义', '裴翠云'), ('楚汉传奇', '季桃'), ('兄弟英雄', '蔡小宛'), ('水浒传', '扈三娘')]|刘筱筱|无|无|无
刘继勋|[('《近距离击杀》', '孙田（男一）'), ('《做只海鸥也挺好》', '马晓强（男一）'), ('《岁月旅程》', '宋满旺（男一）'), ('《三嫁李郎》', '李文耀'), ('《美丽的山茶花》', '郝欣（男一）'), ('《孔庆德生死护送卡尔逊》', '陈慕飞'), ('《我是植物人》', '警察'), ('《李献计历险记》', '眼镜男'), ('《孩子那些事儿》', '林冬青（男一）'), ('《对局》', '李文耀'), ('》', '赵永俊'), ('》', '李中来'), ('《见鬼之灵魂摆渡人》', '《鬼节来客》出场 青年人'), ('《拯救之戒毒所日记》', '大都'), ('《迫在眉睫》', '张柏'), ('《婆媳大事》', '彭秋生')]|刘继勋|无|无|无
刘美君|[('来生不做香港人/客家女人', '梁美田'), ('你想的爱', '白嘉仪'), ('我为钱狂', '梁帼英'), ('夺命情人', '阿玉'), ('王家欣', '陈惠妍'), ('72家租客', '小红'), ('我不卖身我卖子宫', '黎钟钟'), ('漫画奇侠', '(客串乐队成员)'), ('猛鬼学堂∕抓鬼特训班', '小巫婆'), ('夺命情人', '阿玉'), ('法中情', '凌珊珊'), ('毁灭号地车', '越南少女小诗')]|刘美君|prudence liew|刘颂仪|无
刘芮麟|[('外公芳龄38', '尚远'), ('龙拳小子', '袁来'), ('记得少年那首歌', '薛北京（少年）'), ('睡在我上铺的兄弟', '管超'), ('21克拉', 'gary'), ('我是证人', '梁聪'), ('滚蛋吧！肿瘤君', '小夏'), ('回明之杨凌传', '朱厚照'), ('烈火如歌', '玉自寒'), ('趁我们还年轻', '史唯聪'), ('三生三世十里桃花', '子阑'), ('我爱男闺蜜', '莫小康'), ('铠甲勇士拿瓦', '马阔海')]|刘芮麟|wayne|无|无
刘羽琦|[('美人邦', '黛茜'), ('冷瞳', '叶冰冰'), ('爱，很美', '高莎莎'), ('午夜微博', '余霈霈'), ('恋爱三万英尺', '童小瞳'), ('夏日恋神马', '琦琦'), ('河东狮吼Ⅱ', '云儿'), ('东成西就2011', '小苏'), ('国父孙中山', '尹维峻'), ('楚乔传', '樱桃'), ('鬼吹灯之牧野诡事', 'shirley杨'), ('你好乔安', '小红'), ('结婚前规则', '姚电电'), ('婚姻时差', '刘萍'), ('美人季', '郑凯琳')]|刘羽琦|izumi|无|无
刘芷汐|[('忍冬艳蔷薇', '陆瑶'), ('真命天子', '琪琪格'), ('半为苍生半美人', '喜莲\xa0'), ('武则天', '陈美人'), ('十月围城', '夏荷'), ('封神英雄榜', '石矶娘娘'), ('闯天下', '秦莺莺'), ('隋唐演义', '窦线娘'), ('活佛济公3', '章小蕙'), ('新水浒传', '刘知寨夫人'), ('红七军', '阿香'), ('好山好水好女人', '朱小叶'), ('大瓷商', '巧儿'), ('心咒', '赵雪梦'), ('夜玫瑰', '爱尔兰')]|刘芷汐|xixi|曾用名：|无
刘芸|[('思美人', '郑袖'), ('傻儿传奇', '李若云'), ('小爸爸', '早婚女（客串）'), ('失恋33天', '电影院观众（客串）'), ('艾乐乐的罗曼蒂克', '艾乐乐'), ('风和日丽', '米艳艳'), ('北京爱情故事', '咪咪'), ('女人帮·妞儿', '沙晶'), ('河洛康家', '崔月红'), ('牵挂', '牛建红'), ('新一剪梅', '万秋玲'), ('了凡', '赵灵儿'), ('贫嘴小八之东丽湖恋曲', '巴丁丁'), ('秘密列车', '辛红羽'), ('你永远不会独行', '金依楠'), ('鹿鼎记', '沐剑屏'), ('钻石王老五的艰难爱情', '于飞'), ('浓情一生', '黎丽'), ('大汉巾帼', '娟子'), ('风尘三侠之红拂女', '尺素'), ('汗血宝马', '风车'), ('誓不罢休', '林芳'), ('2004', '沈溪儿'), ('大汉天子Ⅱ', '秋婵'), ('新五女拜寿', '暖云'), ('我为歌狂', '麦云洁'), ('命运的承诺', '杨若榴'), ('硬汉奶爸', '依玲'), ('一路顺疯', '美玲'), ('回到爱开始的地方', '薇薇安'), ('大片', '小花'), ('咆哮无声', '万云'), ('亲家过年', '郑丹丹'), ('爱至毫厘，恋上发梢', '事业bobo控'), ('活该你单身', '美佳'), ('风声', '护士'), ('重归杜鹃', '孙湄'), ('梅花结', '林咏梅'), ('大道如天', '姗姗'), ('走向太阳', '小豆子')]|刘芸|无|刘云（本名）|无
刘莉莉|[('俺爹是卧底', '张老太'), ('野驴', '三仙姑'), ('洋嫁', '萧雨山妈妈'), ('左手亲情右手爱', '唐素萍'), ('熟男养成记', '何静'), ('想明白了再结婚', '乔敏'), ('幸福在哪里', '彭桂香'), ('双独家庭的奢侈品', '林母'), ('三十岁,你好', '苗红花'), ('娶了媳妇不忘娘', '刘海棠'), ('邻居也疯狂', '刘秀凤'), ('有你才幸福', '刘锦云'), ('青春期撞上更年期2', '张彤'), ('独生子', '张淑清'), ('aa制生活', '李卫红'), ('工人大院', '乔芳叶'), ('家产', '高大秀'), ('钟点工们', '洪月娥'), ('要过好日子', '周敏芝'), ('一日夫妻百日恩', '夏明娟'), ('幸福来敲门', '江沛'), ('青春期撞上更年期', '张彤'), ('百花深处', '老太太'), ('合适婚姻', '金凤'), ('养父', '香海霞'), ('父爱如山', '李素芬'), ('中国家庭', '赵彩霞'), ('和空姐一起的日子', '王佩芝'), ('说谎的爱人', '朱慧荣'), ('善良背后', '汪素珍'), ('毕业时刻', '刘美曦母亲'), ('风雨沙坡头', '红柳客栈老板娘'), ('媳妇的美好时代', '王盛红'), ('派出所的故事', '一言母'), ('大过年', '李素琴'), ('八兄弟', '美凤'), ('大国医', '花娘'), ('我们的八十年代', '满母'), ('幸福里九号', '姚桂英'), ('谁懂我的心', '冯秋霞'), ('重症婚姻∕重症病房', '冯志娟'), ('大声呼喊你回来', '刘淑华'), ('守望爱情', '裘丽'), ('中国式结婚', '曹茹玲'), ('还债', '马艳'), ('十月怀胎', '黄静西'), ('家有九凤', '初三凤'), ('莫让情两难', '朱虹'), ('有泪尽情流', '田立春'), ('浪漫的事', '主管经理'), ('奇情追踪', '郑玉'), ('秋潮向晚天', '关母'), ('现代诱惑', '付学怡'), ('全家福', '刘婶'), ('吉隆坡之恋', '李妻'), ('笑傲江湖', '宁中则'), ('女巡按', '洪大娘'), ('一年又一年', '陈青'), ('小女人', '胖张嫂'), ('古船女人和网', '巧姑'), ('辘轳女人和井', '巧姑'), ('篱笆女人和狗', '巧姑'), ('天池山血泪', '洋桃红'), ('瞧,这些大男大女们', '筱筱丽霞'), ('滚蛋吧，肿瘤君', '熊顿母亲'), ('疯狂的导演', '东北大姐(客串)'), ('母亲(微电影)', '母亲'), ('绝对底线', '孙奕心'), ('唐山大地震', '汶川母亲'), ('网络少年', '宋欢欢妈'), ('操心家长', '郭巧珍'), ('球迷心窍', '常淑芬')]|刘莉莉|无|莉莉姐 莉妈|无
刘泊潇|[('红旗漫卷西风', '董巍'), ('新雪山飞狐', '商堡振'), ('最后一战', '韩文虎'), ('十个连长一个班', '谭海明'), ('东江英雄刘黑仔', '松本'), ('鹿鼎记', '白尔赫'), ('隋唐演义', '罗方'), ('战地狮吼', '佐佐木'), ('枪花', '孟光'), ('神枪之倒刺', '田中劲夫'), ('英雄', '灵姑浮'), ('刀影', '张忠'), ('游击兵工厂', '马远图'), ('嫌疑人x', '赖川'), ('断箭', '武朝元'), ('房奴', '大冬'), ('公元1949`湖南', '陈明仁将军'), ('潜伏', '洪秘书'), ('三抢财神', '李十满'), ('赌道枭雄', '川上'), ('御家厨', '同治帝（青年）'), ('阳光', '莫言'), ('天堂之下', '刘留'), ('一路夫妻', '董明')]|刘泊潇|无|刘言语|无
刘萌萌|[('擒狼', '胭脂马'), ('大地惊雷', '赵凤凰'), ('孤芳不自赏', '燕十三娘'), ('放弃我，抓紧我', '珍妮'), ('实习侠', '端木木'), ('寂寞空庭春欲晚', '玉箸'), ('煮妇神探', '李亚飞'), ('家和万事兴', '宋香'), ('历史永远铭记', '苏菲'), ('深宅雪', '芳儿'), ('医馆笑传', '顾倾城'), ('香瓜七兄弟2', '洛小熙'), ('爱情回来了', '林晓娅'), ('爱情公寓4', '诺澜'), ('屌丝日记', '林洛霏'), ('利箭纵横', '林筱雨'), ('决战燕子门', '马晓婉'), ('隋唐演义', '琼花公主'), ('利箭行动', '林筱雨'), ('爱情公寓3', '诺澜'), ('201413', '方小乔')]|刘萌萌|无|萌萌、萌主、萌妞|无
